record_type,entity_id,seed,epoch,validation_scope,metric,k_definition,estimate,median_across_genomes,mean_across_lineages,lineage_bootstrap_ci_low,lineage_bootstrap_ci_high,n_genomes,n_lineages,training_loss,huber_loss,ranking_loss,rank_weight,epoch_runtime_seconds,cumulative_training_runtime_seconds,checkpoint_sha256,status,notes
final_validation_metric,member_seed_11,11.0,4.0,full_validation,ndcg_at_k,top_1_percent,0.28448187939589864,0.28533253858836394,0.281086844462944,0.26926880887814886,0.29175196876259846,45.0,19.0,,,,,,945.520563600061,7323980992f3009f384db0dde017893a28831a646639da8008e6f25aa461ebdf,valid,full inference seconds=189.887; peak GPU memory n/a
final_validation_metric,member_seed_11,11.0,4.0,full_validation,ndcg_at_k,top_5_percent,0.3404179582998061,0.33939934632335345,0.33881222770973773,0.33241969588427944,0.3453580516422046,45.0,19.0,,,,,,945.520563600061,7323980992f3009f384db0dde017893a28831a646639da8008e6f25aa461ebdf,valid,full inference seconds=189.887; peak GPU memory n/a
final_validation_metric,member_seed_11,11.0,4.0,full_validation,recall_at_k,fixed_100,0.010444444444444447,0.01,0.011973684210526317,0.007280701754385965,0.01732456140350877,45.0,19.0,,,,,,945.520563600061,7323980992f3009f384db0dde017893a28831a646639da8008e6f25aa461ebdf,valid,full inference seconds=189.887; peak GPU memory n/a
final_validation_metric,member_seed_11,11.0,4.0,full_validation,recall_at_k,top_1_percent,0.00816265546096604,0.0,0.009223096768415087,0.004566022306471582,0.01466169585451317,45.0,19.0,,,,,,945.520563600061,7323980992f3009f384db0dde017893a28831a646639da8008e6f25aa461ebdf,valid,full inference seconds=189.887; peak GPU memory n/a
final_validation_metric,member_seed_11,11.0,4.0,full_validation,recall_at_k,top_5_percent,0.06692056545971382,0.06683804627249357,0.06612142640568933,0.06097491490455837,0.07097816049784728,45.0,19.0,,,,,,945.520563600061,7323980992f3009f384db0dde017893a28831a646639da8008e6f25aa461ebdf,valid,full inference seconds=189.887; peak GPU memory n/a
final_validation_metric,member_seed_11,11.0,4.0,full_validation,scalar_mae_training_target,,0.2279299840042187,0.2266879230402619,0.2254156939137296,0.2229502969909093,0.22799620590808609,45.0,19.0,,,,,,945.520563600061,7323980992f3009f384db0dde017893a28831a646639da8008e6f25aa461ebdf,valid,full inference seconds=189.887; peak GPU memory n/a
final_validation_metric,member_seed_11,11.0,4.0,full_validation,spearman,,0.15302757065759665,0.15445044988328552,0.15499359151904504,0.14834334730408202,0.16218417925454992,45.0,19.0,,,,,,945.520563600061,7323980992f3009f384db0dde017893a28831a646639da8008e6f25aa461ebdf,valid,full inference seconds=189.887; peak GPU memory n/a
final_validation_metric,member_seed_23,23.0,4.0,full_validation,ndcg_at_k,fixed_100,0.3055643139973015,0.30667694949690205,0.2968366577842758,0.28667303223807755,0.3075957481698372,45.0,19.0,,,,,,957.056074699969,28e2c66012af684229405e598b5cbf274d5c998213bb18474deb6a2c0ccfb67b,valid,full inference seconds=158.418; peak GPU memory n/a
final_validation_metric,member_seed_23,23.0,4.0,full_validation,ndcg_at_k,top_1_percent,0.3015762930785022,0.30233148476294563,0.2923809486875932,0.28188146524974705,0.3033416427554056,45.0,19.0,,,,,,957.056074699969,28e2c66012af684229405e598b5cbf274d5c998213bb18474deb6a2c0ccfb67b,valid,full inference seconds=158.418; peak GPU memory n/a
final_validation_metric,member_seed_23,23.0,4.0,full_validation,ndcg_at_k,top_5_percent,0.3633090872993512,0.36604109398715945,0.3571226745923356,0.3484051833745177,0.36600640334681994,45.0,19.0,,,,,,957.056074699969,28e2c66012af684229405e598b5cbf274d5c998213bb18474deb6a2c0ccfb67b,valid,full inference seconds=158.418; peak GPU memory n/a
