teacher_call_fraction_requested,teacher_calls,teacher_call_fraction_actual,student_coverage,spearman,risk,recall_top_1_percent,recall_top_5_percent,recall_fixed_100,ndcg_top_1_percent,ndcg_top_5_percent,ndcg_fixed_100,replicate,aurc_risk_coverage
1.0,353840,1.0,0.0,1.0,6.908054375445419e-17,1.0,1.0,1.0,1.0,1.0,1.0,10,0.32751486100224153
0.0,0,0.0,1.0,0.26191017193450705,0.738089828065493,0.010875658244192085,0.09493499333578921,0.014222222222222223,0.34683176722158043,0.41277833597756136,0.35345912172438604,11,0.32830315613961725
0.01,3558,0.010055392267691612,0.9899446077323084,0.27182103100173644,0.7281789689982637,0.017107400487344344,0.09721913870375912,0.018888888888888893,0.41782136113519003,0.4409772066198296,0.41493613982147154,11,0.32830315613961725
0.05,17709,0.050048044313814155,0.9499519556861858,0.3106938947901774,0.6893061052098226,0.05531707118973548,0.10826153432250568,0.05377777777777778,0.573297354044932,0.5043592501498925,0.548780626363772,11,0.32830315613961725
0.1,35401,0.10004804431381416,0.8999519556861858,0.3578026262264983,0.6421973737735016,0.11066451212899135,0.12734305102257754,0.10666666666666666,0.6859912548621955,0.5622452409043823,0.663040173348907,11,0.32830315613961725
0.2,70783,0.20004239204160074,0.7999576079583992,0.4496943615633459,0.550305638436654,0.21241936326322602,0.20183752130267463,0.2077777777777778,0.8008570452356025,0.6655258385542657,0.7828761615419615,11,0.32830315613961725
0.3,106173,0.30005934885824104,0.699940651141759,0.5366096142188966,0.4633903857811034,0.3079550960900076,0.29947042768003007,0.3048888888888889,0.8551230584353255,0.7475761486721613,0.8428365017828097,11,0.32830315613961725
0.5,176928,0.5000226090888538,0.49997739091114624,0.6947522987031872,0.3052477012968128,0.5102064710743838,0.4986341705901228,0.5022222222222221,0.921755736951006,0.8568538532052644,0.9150132250853147,11,0.32830315613961725
0.75,265397,0.7500480443138141,0.2499519556861859,0.8640962076663647,0.13590379233363514,0.7530495162077552,0.7487800328473218,0.7480000000000001,0.9685478802858468,0.9417332545390059,0.9657837375720607,11,0.32830315613961725
1.0,353840,1.0,0.0,1.0,6.908054375445419e-17,1.0,1.0,1.0,1.0,1.0,1.0,11,0.32830315613961725
